2026-03-24 01:28:37,965 | INFO | base_test | TestCart | test_continue_shopping | Starting Test test_continue_shopping 
2026-03-24 01:28:40,527 | INFO | base_test | TestCart | test_continue_shopping | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-24 01:28:40,550 | INFO | base_test | TestCart | test_continue_shopping | Maximize the window
2026-03-24 01:28:40,672 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-24 01:28:40,672 | INFO | login_page | LoginPage | test_validate_items_in_cart | Username entered:<<standard_user>>
2026-03-24 01:28:40,767 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-24 01:28:40,768 | INFO | login_page | LoginPage | test_validate_items_in_cart | Password entered:<<secret_sauce>>
2026-03-24 01:28:40,902 | INFO | base_page | LoginPage | test_validate_items_in_cart | Clicked on element : ('id', 'login-button')
2026-03-24 01:28:40,902 | INFO | login_page | LoginPage | test_validate_items_in_cart | Login Button clicked
2026-03-24 01:28:40,983 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-24 01:28:41,075 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-24 01:28:41,171 | INFO | base_page | CartPage | test_validate_items_in_cart | Clicked on element : ('id', 'continue-shopping')
2026-03-24 01:28:41,175 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Current URL: <<https://www.saucedemo.com/inventory.html>>
2026-03-24 01:28:41,181 | INFO | cart_test | TestCart | test_continue_shopping | Current URL after clicking Continue Shopping: <<https://www.saucedemo.com/inventory.html>>
2026-03-24 01:28:45,316 | INFO | base_test | TestCart | test_continue_shopping | Finished test test_continue_shopping
