2026-03-20 15:14:08,562 | INFO | base_test | TestCheckout | test_checkout | Starting Test test_checkout 
2026-03-20 15:14:11,404 | INFO | base_test | TestCheckout | test_checkout | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-20 15:14:11,430 | INFO | base_test | TestCheckout | test_checkout | Maximize the window
2026-03-20 15:14:11,553 | INFO | base_page | LoginPage | test_checkout | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-20 15:14:11,553 | INFO | login_page | LoginPage | test_checkout | Username entered:<<standard_user>>
2026-03-20 15:14:11,646 | INFO | base_page | LoginPage | test_checkout | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-20 15:14:11,646 | INFO | login_page | LoginPage | test_checkout | Password entered:<<secret_sauce>>
2026-03-20 15:14:11,799 | INFO | base_page | LoginPage | test_checkout | Clicked on element : ('id', 'login-button')
2026-03-20 15:14:11,799 | INFO | login_page | LoginPage | test_checkout | Login Button clicked
2026-03-20 15:14:11,878 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Backpack']/ancestor::div[@class='inventory_item']//button")
2026-03-20 15:14:11,957 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-20 15:14:12,041 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-20 15:14:12,130 | INFO | base_page | CartPage | test_checkout | Clicked on element : ('id', 'checkout')
2026-03-20 15:14:12,174 | INFO | base_page | CheckoutPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Your Information>>
2026-03-20 15:14:12,181 | INFO | base_page | CheckoutPage | test_checkout | Getting Checkout Page Title : Checkout: Your Information
2026-03-20 15:14:12,186 | INFO | base_page | CheckoutPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-step-one.html>>
2026-03-20 15:14:12,275 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<John>> into element with locator: ('id', 'first-name')
2026-03-20 15:14:12,352 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<Doe>> into element with locator: ('id', 'last-name')
2026-03-20 15:14:12,431 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<12345>> into element with locator: ('id', 'postal-code')
2026-03-20 15:14:12,613 | INFO | base_page | CheckoutPage | test_checkout | Clicked on element : ('id', 'continue')
2026-03-20 15:14:12,673 | INFO | base_page | PaymentPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Overview>>
2026-03-20 15:14:12,679 | INFO | base_page | PaymentPage | test_checkout | Getting Payment Page Title : Checkout: Overview
2026-03-20 15:14:12,682 | INFO | base_page | PaymentPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-step-two.html>>
2026-03-20 15:14:12,756 | INFO | base_page | PaymentPage | test_checkout | Clicked on element : ('id', 'finish')
2026-03-20 15:14:12,789 | INFO | base_page | ConfirmationPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Complete!>>
2026-03-20 15:14:12,795 | INFO | base_page | ConfirmationPage | test_checkout | Getting Confirmation Page Title : Checkout: Complete!
2026-03-20 15:14:12,799 | INFO | base_page | ConfirmationPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-complete.html>>
2026-03-20 15:14:12,820 | INFO | base_page | ConfirmationPage | test_checkout | Text from element ('class name', 'complete-header') :  <<Thank you for your order!>>
2026-03-20 15:14:16,945 | INFO | base_test | TestCheckout | test_checkout | Finished test test_checkout
