2026-04-13 18:13:38,648 | INFO | base_test | TestCart | test_cart | Starting Test test_cart 
2026-04-13 18:13:51,744 | INFO | base_test | TestCart | test_cart | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-04-13 18:13:51,788 | INFO | base_test | TestCart | test_cart | Maximize the window
2026-04-13 18:13:52,067 | INFO | base_page | LoginPage | test_cart | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-04-13 18:13:52,068 | INFO | login_page | LoginPage | test_cart | Username entered:<<standard_user>>
2026-04-13 18:13:52,163 | INFO | base_page | LoginPage | test_cart | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-04-13 18:13:52,164 | INFO | login_page | LoginPage | test_cart | Password entered:<<secret_sauce>>
2026-04-13 18:13:52,302 | INFO | base_page | LoginPage | test_cart | Clicked on element : ('id', 'login-button')
2026-04-13 18:13:52,302 | INFO | login_page | LoginPage | test_cart | Login Button clicked
2026-04-13 18:13:52,393 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Backpack']/ancestor::div[@class='inventory_item']//button")
2026-04-13 18:13:52,461 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-04-13 18:13:52,539 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('class name', 'shopping_cart_link')
2026-04-13 18:13:52,581 | INFO | base_page | CartPage | test_cart | Text from element ('xpath', "//span[@class='title']") :  <<Your Cart>>
2026-04-13 18:13:52,587 | INFO | base_page | CartPage | test_cart | Getting Cart Page Title : Your Cart
2026-04-13 18:13:52,591 | INFO | base_page | InventoryPage | test_cart | Current URL: <<https://www.saucedemo.com/cart.html>>
2026-04-13 18:13:56,726 | INFO | base_test | TestCart | test_cart | Finished test test_cart
