2026-03-21 14:28:18,262 | INFO | base_test | TestInventory | test_inventory | Starting Test test_inventory 
2026-03-21 14:28:20,519 | INFO | base_test | TestInventory | test_inventory | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-21 14:28:20,544 | INFO | base_test | TestInventory | test_inventory | Maximize the window
2026-03-21 14:28:20,679 | INFO | base_page | LoginPage | test_inventory | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-21 14:28:20,680 | INFO | login_page | LoginPage | test_inventory | Username entered:<<standard_user>>
2026-03-21 14:28:20,778 | INFO | base_page | LoginPage | test_inventory | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-21 14:28:20,778 | INFO | login_page | LoginPage | test_inventory | Password entered:<<secret_sauce>>
2026-03-21 14:28:20,906 | INFO | base_page | LoginPage | test_inventory | Clicked on element : ('id', 'login-button')
2026-03-21 14:28:20,906 | INFO | login_page | LoginPage | test_inventory | Login Button clicked
2026-03-21 14:28:20,951 | INFO | base_page | InventoryPage | test_inventory | Text from element ('xpath', "//span[@class='title']") :  <<Products>>
2026-03-21 14:28:20,959 | INFO | base_page | InventoryPage | test_inventory | Getting Inventory Page Title : Products
2026-03-21 14:28:20,964 | INFO | base_page | InventoryPage | test_inventory | Current URL: <<https://www.saucedemo.com/inventory.html>>
2026-03-21 14:28:21,011 | INFO | inventory_page | InventoryPage | test_inventory | Inventory items: ['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
2026-03-21 14:28:25,124 | INFO | base_test | TestInventory | test_inventory | Finished test test_inventory
