2026-03-20 15:14:00,783 | INFO | base_test | TestCart | test_continue_shopping | Starting Test test_continue_shopping 
2026-03-20 15:14:03,801 | INFO | base_test | TestCart | test_continue_shopping | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-20 15:14:03,825 | INFO | base_test | TestCart | test_continue_shopping | Maximize the window
2026-03-20 15:14:03,943 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-20 15:14:03,943 | INFO | login_page | LoginPage | test_validate_items_in_cart | Username entered:<<standard_user>>
2026-03-20 15:14:04,027 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-20 15:14:04,028 | INFO | login_page | LoginPage | test_validate_items_in_cart | Password entered:<<secret_sauce>>
2026-03-20 15:14:04,151 | INFO | base_page | LoginPage | test_validate_items_in_cart | Clicked on element : ('id', 'login-button')
2026-03-20 15:14:04,151 | INFO | login_page | LoginPage | test_validate_items_in_cart | Login Button clicked
2026-03-20 15:14:04,231 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-20 15:14:04,330 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-20 15:14:04,418 | INFO | base_page | CartPage | test_validate_items_in_cart | Clicked on element : ('id', 'continue-shopping')
2026-03-20 15:14:04,427 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Current URL: <<https://www.saucedemo.com/inventory.html>>
2026-03-20 15:14:04,431 | INFO | cart_test | TestCart | test_continue_shopping | Current URL after clicking Continue Shopping: <<https://www.saucedemo.com/inventory.html>>
2026-03-20 15:14:08,558 | INFO | base_test | TestCart | test_continue_shopping | Finished test test_continue_shopping
