2026-03-21 14:28:03,663 | INFO | base_test | TestCart | test_continue_shopping | Starting Test test_continue_shopping 
2026-03-21 14:28:05,833 | INFO | base_test | TestCart | test_continue_shopping | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-21 14:28:05,859 | INFO | base_test | TestCart | test_continue_shopping | Maximize the window
2026-03-21 14:28:05,992 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-21 14:28:05,992 | INFO | login_page | LoginPage | test_validate_items_in_cart | Username entered:<<standard_user>>
2026-03-21 14:28:06,092 | INFO | base_page | LoginPage | test_validate_items_in_cart | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-21 14:28:06,093 | INFO | login_page | LoginPage | test_validate_items_in_cart | Password entered:<<secret_sauce>>
2026-03-21 14:28:06,216 | INFO | base_page | LoginPage | test_validate_items_in_cart | Clicked on element : ('id', 'login-button')
2026-03-21 14:28:06,216 | INFO | login_page | LoginPage | test_validate_items_in_cart | Login Button clicked
2026-03-21 14:28:06,298 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-21 14:28:06,376 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-21 14:28:06,469 | INFO | base_page | CartPage | test_validate_items_in_cart | Clicked on element : ('id', 'continue-shopping')
2026-03-21 14:28:06,475 | INFO | base_page | InventoryPage | test_validate_items_in_cart | Current URL: <<https://www.saucedemo.com/inventory.html>>
2026-03-21 14:28:06,479 | INFO | cart_test | TestCart | test_continue_shopping | Current URL after clicking Continue Shopping: <<https://www.saucedemo.com/inventory.html>>
2026-03-21 14:28:10,591 | INFO | base_test | TestCart | test_continue_shopping | Finished test test_continue_shopping
