2026-03-21 14:28:10,596 | INFO | base_test | TestCheckout | test_checkout | Starting Test test_checkout 
2026-03-21 14:28:12,790 | INFO | base_test | TestCheckout | test_checkout | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-21 14:28:12,814 | INFO | base_test | TestCheckout | test_checkout | Maximize the window
2026-03-21 14:28:12,949 | INFO | base_page | LoginPage | test_checkout | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-21 14:28:12,949 | INFO | login_page | LoginPage | test_checkout | Username entered:<<standard_user>>
2026-03-21 14:28:13,059 | INFO | base_page | LoginPage | test_checkout | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-21 14:28:13,059 | INFO | login_page | LoginPage | test_checkout | Password entered:<<secret_sauce>>
2026-03-21 14:28:13,189 | INFO | base_page | LoginPage | test_checkout | Clicked on element : ('id', 'login-button')
2026-03-21 14:28:13,189 | INFO | login_page | LoginPage | test_checkout | Login Button clicked
2026-03-21 14:28:13,275 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Backpack']/ancestor::div[@class='inventory_item']//button")
2026-03-21 14:28:13,343 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-21 14:28:13,423 | INFO | base_page | InventoryPage | test_checkout | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-21 14:28:13,498 | INFO | base_page | CartPage | test_checkout | Clicked on element : ('id', 'checkout')
2026-03-21 14:28:13,541 | INFO | base_page | CheckoutPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Your Information>>
2026-03-21 14:28:13,547 | INFO | base_page | CheckoutPage | test_checkout | Getting Checkout Page Title : Checkout: Your Information
2026-03-21 14:28:13,551 | INFO | base_page | CheckoutPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-step-one.html>>
2026-03-21 14:28:13,636 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<John>> into element with locator: ('id', 'first-name')
2026-03-21 14:28:13,712 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<Doe>> into element with locator: ('id', 'last-name')
2026-03-21 14:28:13,789 | INFO | base_page | CheckoutPage | test_checkout | Entered text <<12345>> into element with locator: ('id', 'postal-code')
2026-03-21 14:28:13,925 | INFO | base_page | CheckoutPage | test_checkout | Clicked on element : ('id', 'continue')
2026-03-21 14:28:13,962 | INFO | base_page | PaymentPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Overview>>
2026-03-21 14:28:13,968 | INFO | base_page | PaymentPage | test_checkout | Getting Payment Page Title : Checkout: Overview
2026-03-21 14:28:13,972 | INFO | base_page | PaymentPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-step-two.html>>
2026-03-21 14:28:14,042 | INFO | base_page | PaymentPage | test_checkout | Clicked on element : ('id', 'finish')
2026-03-21 14:28:14,085 | INFO | base_page | ConfirmationPage | test_checkout | Text from element ('xpath', "//span[@class='title']") :  <<Checkout: Complete!>>
2026-03-21 14:28:14,091 | INFO | base_page | ConfirmationPage | test_checkout | Getting Confirmation Page Title : Checkout: Complete!
2026-03-21 14:28:14,095 | INFO | base_page | ConfirmationPage | test_checkout | Current URL: <<https://www.saucedemo.com/checkout-complete.html>>
2026-03-21 14:28:14,117 | INFO | base_page | ConfirmationPage | test_checkout | Text from element ('class name', 'complete-header') :  <<Thank you for your order!>>
2026-03-21 14:28:18,258 | INFO | base_test | TestCheckout | test_checkout | Finished test test_checkout
