2026-03-20 15:14:31,471 | INFO | base_test | TestLogin | test_valid_login | Starting Test test_valid_login 
2026-03-20 15:14:34,270 | INFO | base_test | TestLogin | test_valid_login | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-20 15:14:34,295 | INFO | base_test | TestLogin | test_valid_login | Maximize the window
2026-03-20 15:14:34,413 | INFO | base_page | LoginPage | test_valid_login | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-20 15:14:34,414 | INFO | login_page | LoginPage | test_valid_login | Username entered:<<standard_user>>
2026-03-20 15:14:34,508 | INFO | base_page | LoginPage | test_valid_login | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-20 15:14:34,508 | INFO | login_page | LoginPage | test_valid_login | Password entered:<<secret_sauce>>
2026-03-20 15:14:34,652 | INFO | base_page | LoginPage | test_valid_login | Clicked on element : ('id', 'login-button')
2026-03-20 15:14:34,652 | INFO | login_page | LoginPage | test_valid_login | Login Button clicked
2026-03-20 15:14:34,662 | INFO | login_test | TestLogin | test_valid_login | Assertion Passed: <<Swag Labs>> is present in the page title
2026-03-20 15:14:38,774 | INFO | base_test | TestLogin | test_valid_login | Finished test test_valid_login
