2026-03-24 01:29:08,104 | INFO | base_test | TestLogin | test_valid_login | Starting Test test_valid_login 
2026-03-24 01:29:10,816 | INFO | base_test | TestLogin | test_valid_login | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-24 01:29:10,841 | INFO | base_test | TestLogin | test_valid_login | Maximize the window
2026-03-24 01:29:10,959 | INFO | base_page | LoginPage | test_valid_login | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-24 01:29:10,960 | INFO | login_page | LoginPage | test_valid_login | Username entered:<<standard_user>>
2026-03-24 01:29:11,080 | INFO | base_page | LoginPage | test_valid_login | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-24 01:29:11,080 | INFO | login_page | LoginPage | test_valid_login | Password entered:<<secret_sauce>>
2026-03-24 01:29:11,215 | INFO | base_page | LoginPage | test_valid_login | Clicked on element : ('id', 'login-button')
2026-03-24 01:29:11,215 | INFO | login_page | LoginPage | test_valid_login | Login Button clicked
2026-03-24 01:29:11,221 | INFO | login_test | TestLogin | test_valid_login | Assertion Passed: <<Swag Labs>> is present in the page title
2026-03-24 01:29:15,346 | INFO | base_test | TestLogin | test_valid_login | Finished test test_valid_login
