2026-03-21 14:27:38,595 | INFO | base_test | TestCart | test_cart | Starting Test test_cart 
2026-03-21 14:27:50,574 | INFO | base_test | TestCart | test_cart | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-21 14:27:50,613 | INFO | base_test | TestCart | test_cart | Maximize the window
2026-03-21 14:27:50,894 | INFO | base_page | LoginPage | test_cart | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-21 14:27:50,895 | INFO | login_page | LoginPage | test_cart | Username entered:<<standard_user>>
2026-03-21 14:27:50,999 | INFO | base_page | LoginPage | test_cart | Entered text <<secret_sauce>> into element with locator: ('id', 'password')
2026-03-21 14:27:51,000 | INFO | login_page | LoginPage | test_cart | Password entered:<<secret_sauce>>
2026-03-21 14:27:51,120 | INFO | base_page | LoginPage | test_cart | Clicked on element : ('id', 'login-button')
2026-03-21 14:27:51,120 | INFO | login_page | LoginPage | test_cart | Login Button clicked
2026-03-21 14:27:51,193 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Backpack']/ancestor::div[@class='inventory_item']//button")
2026-03-21 14:27:51,259 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('xpath', "//div[normalize-space()='Sauce Labs Fleece Jacket']/ancestor::div[@class='inventory_item']//button")
2026-03-21 14:27:51,339 | INFO | base_page | InventoryPage | test_cart | Clicked on element : ('class name', 'shopping_cart_link')
2026-03-21 14:27:51,381 | INFO | base_page | CartPage | test_cart | Text from element ('xpath', "//span[@class='title']") :  <<Your Cart>>
2026-03-21 14:27:51,387 | INFO | base_page | CartPage | test_cart | Getting Cart Page Title : Your Cart
2026-03-21 14:27:51,391 | INFO | base_page | InventoryPage | test_cart | Current URL: <<https://www.saucedemo.com/cart.html>>
2026-03-21 14:27:56,536 | INFO | base_test | TestCart | test_cart | Finished test test_cart
